customer_id,customer_rating,destination_id
1,4.0,cmbi8isjf0008sd5aubbzynmi
2,1.9,cmbi8isk0000gsd5arosu6zlq
3,2.4,cmbi8isl8000xsd5au263xehh
4,3.9,cmbi8isj50005sd5a907kkfl7
5,3.4,cmbi8isk0000gsd5arosu6zlq
6,2.0,cmbi8isj10004sd5adr8xfahb
7,2.1,cmbi8islg0010sd5afti6dn62
8,2.7,cmbi8isji0009sd5a7fqniepz
9,4.3,cmbi8iskk000nsd5a30b1c4xw
10,2.5,cmbi8islg0010sd5afti6dn62
11,3.0,cmbi8isjr000csd5a71m65fum
12,1.1,cmbi8isj10004sd5adr8xfahb
13,1.8,cmbi8iskr000qsd5a5sbbpb3x
14,3.6,cmbi8isk0000gsd5arosu6zlq
15,4.3,cmbi8isk6000isd5aip8we297
16,4.5,cmbi8isj10004sd5adr8xfahb
17,4.3,cmbi8isiy0003sd5azop7ryvg
18,2.7,cmbi8isiy0003sd5azop7ryvg
19,3.9,cmbi8iskk000nsd5a30b1c4xw
20,3.0,cmbi8isjy000fsd5a4vf1kq0o
21,4.7,cmbi8isl5000wsd5adumf0yjo
22,4.8,cmbi8isji0009sd5a7fqniepz
23,3.4,cmbi8isjr000csd5a71m65fum
24,1.1,cmbi8isjw000esd5aucosltd9
25,2.3,cmbi8isjo000bsd5ai7m6zipc
26,3.3,cmbi8isiu0002sd5a4qy9sut3
27,3.5,cmbi8isl8000xsd5au263xehh
28,2.6,cmbi8iske000lsd5aui7d4fr6
29,1.5,cmbi8isj50005sd5a907kkfl7
30,1.9,cmbi8isk6000isd5aip8we297
31,4.1,cmbi8islj0011sd5aed26kfal
32,4.5,cmbi8isl0000usd5away4mq9w
33,2.9,cmbi8iskk000nsd5a30b1c4xw
34,4.5,cmbi8isiy0003sd5azop7ryvg
35,1.4,cmbi8isj10004sd5adr8xfahb
36,1.6,cmbi8isjr000csd5a71m65fum
37,4.0,cmbi8isiu0002sd5a4qy9sut3
38,2.9,cmbi8isj50005sd5a907kkfl7
39,1.4,cmbi8isjf0008sd5aubbzynmi
40,4.8,cmbi8iske000lsd5aui7d4fr6
41,4.2,cmbi8isjo000bsd5ai7m6zipc
42,3.5,cmbi8isla000ysd5az8prt5m7
43,1.0,cmbi8islg0010sd5afti6dn62
44,4.8,cmbi8isjo000bsd5ai7m6zipc
45,4.3,cmbi8isjw000esd5aucosltd9
46,4.4,cmbi8isk3000hsd5ay42g3e3k
47,1.5,cmbi8iskc000ksd5awh4mker0
48,4.4,cmbi8isk0000gsd5arosu6zlq
49,3.9,cmbi8iskt000rsd5an1icyj0y
50,4.6,cmbi8iskt000rsd5an1icyj0y
51,3.5,cmbi8isk6000isd5aip8we297
52,1.9,cmbi8isk3000hsd5ay42g3e3k
53,3.0,cmbi8isjl000asd5asj3v6nk2
54,3.9,cmbi8isjf0008sd5aubbzynmi
55,4.0,cmbi8isk0000gsd5arosu6zlq
56,2.4,cmbi8iskc000ksd5awh4mker0
57,3.0,cmbi8isjy000fsd5a4vf1kq0o
58,2.6,cmbi8isjw000esd5aucosltd9
59,3.0,cmbi8isl5000wsd5adumf0yjo
60,2.7,cmbi8isip0001sd5af5wlxfl1
61,3.0,cmbi8isl0000usd5away4mq9w
62,1.5,cmbi8isi90000sd5aj9o0k2gn
63,3.8,cmbi8isiu0002sd5a4qy9sut3
64,4.6,cmbi8islg0010sd5afti6dn62
65,3.8,cmbi8iske000lsd5aui7d4fr6
66,2.8,cmbi8isi90000sd5aj9o0k2gn
67,1.5,cmbi8iske000lsd5aui7d4fr6
68,3.5,cmbi8isjf0008sd5aubbzynmi
69,4.2,cmbi8isiy0003sd5azop7ryvg
70,1.4,cmbi8isj50005sd5a907kkfl7
71,1.7,cmbi8iskr000qsd5a5sbbpb3x
72,2.7,cmbi8isjw000esd5aucosltd9
73,2.9,cmbi8isld000zsd5anodjgtyr
74,1.7,cmbi8iskc000ksd5awh4mker0
75,3.7,cmbi8isi90000sd5aj9o0k2gn
76,4.5,cmbi8isju000dsd5atex3sgoo
77,1.8,cmbi8isld000zsd5anodjgtyr
78,1.9,cmbi8isj80006sd5a98p81413
79,4.6,cmbi8isl2000vsd5arslka62p
80,1.7,cmbi8isld000zsd5anodjgtyr
81,4.3,cmbi8isk6000isd5aip8we297
82,4.1,cmbi8isjy000fsd5a4vf1kq0o
83,4.9,cmbi8isl0000usd5away4mq9w
84,1.3,cmbi8isk0000gsd5arosu6zlq
85,1.6,cmbi8isj10004sd5adr8xfahb
86,4.3,cmbi8isl5000wsd5adumf0yjo
87,4.4,cmbi8iski000msd5ahtmdhrsf
88,3.0,cmbi8isk9000jsd5anm9iar1l
89,3.4,cmbi8iskt000rsd5an1icyj0y
90,1.3,cmbi8islg0010sd5afti6dn62
91,3.7,cmbi8iskc000ksd5awh4mker0
92,3.2,cmbi8isjb0007sd5at6jglve6
93,4.9,cmbi8isjf0008sd5aubbzynmi
94,4.8,cmbi8iske000lsd5aui7d4fr6
95,1.8,cmbi8iskn000osd5a86dv4dfb
96,3.8,cmbi8isj10004sd5adr8xfahb
97,3.4,cmbi8isl2000vsd5arslka62p
98,3.1,cmbi8isld000zsd5anodjgtyr
99,4.3,cmbi8isk9000jsd5anm9iar1l
100,4.3,cmbi8iskw000ssd5agzmyx3xe
101,2.8,cmbi8isjb0007sd5at6jglve6
102,4.2,cmbi8isl8000xsd5au263xehh
103,3.6,cmbi8isj50005sd5a907kkfl7
104,1.9,cmbi8isj50005sd5a907kkfl7
105,1.3,cmbi8isjw000esd5aucosltd9
106,1.7,cmbi8isla000ysd5az8prt5m7
107,1.9,cmbi8isjl000asd5asj3v6nk2
108,4.9,cmbi8isjb0007sd5at6jglve6
109,4.5,cmbi8iskc000ksd5awh4mker0
110,4.7,cmbi8isj10004sd5adr8xfahb
111,4.9,cmbi8isjw000esd5aucosltd9
112,1.2,cmbi8isiy0003sd5azop7ryvg
113,2.3,cmbi8isj10004sd5adr8xfahb
114,5.0,cmbi8isj80006sd5a98p81413
115,4.5,cmbi8isjr000csd5a71m65fum
116,2.3,cmbi8iskn000osd5a86dv4dfb
117,1.0,cmbi8isj50005sd5a907kkfl7
118,4.6,cmbi8isk0000gsd5arosu6zlq
119,2.6,cmbi8isl5000wsd5adumf0yjo
